Time;;ID (hex);Data (hex)
;;;
;;;
;;;
;;;
;;;
15:35:54.683;;18FFF403;00 00 00 00 00 00 00 00
15:35:54.688;;18FF0104;08 10 00 00 A4 04 02 00
15:35:54.689;;18FFF003;00 00 00 00 00 00 00 00
15:35:54.692;;18FEF704;FF FF FF FF 6A 00 FF FF
15:35:54.694;;18FFF103;04 00 00 00 00 00 00 FF
15:35:54.696;;18FFF504;FF 82 00 FF 00 00 FF 02
15:35:54.699;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:54.704;;18F00400;FF FF FF FF FF FF FF FF
15:35:54.708;;18FF0104;08 10 00 00 00 04 02 00
15:35:54.709;;18FEF500;FF FF FF FF FF FF FF FF
15:35:54.712;;18FEF704;FF FF FF FF 04 01 FF FF
15:35:54.716;;18FFF504;FF 82 00 FF 00 00 FF 02
15:35:54.728;;18FF0104;08 10 00 00 00 04 02 00
15:35:54.732;;18FEF704;FF FF FF FF 66 01 FF FF
15:35:54.734;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:54.736;;18FFF504;FF 82 00 FF 00 00 FF 02
15:35:54.739;;18FFF003;00 00 00 00 00 00 00 00
15:35:54.744;;18FFF103;00 00 00 00 00 00 00 FF
15:35:54.748;;18FF0104;00 10 00 00 00 04 02 00
15:35:54.749;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:54.752;;18FEF704;FF FF FF FF A5 01 FF FF
15:35:54.754;;18F00400;FF FF FF FF FF FF FF FF
15:35:54.756;;18FFF504;FF 82 00 FF 00 00 FF 02
15:35:54.768;;18FF0104;00 10 00 00 00 04 02 00
15:35:54.772;;18FEF704;FF FF FF FF CD 01 FF FF
15:35:54.776;;18FFF504;FF 82 00 FF 00 00 FF 02
15:35:54.784;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:54.788;;492;Remote Frame (DLC=0)
15:35:54.788;;18FF0104;00 10 00 00 00 04 02 00
15:35:54.792;;18FEF704;FF FF FF FF E6 01 FF FF
15:35:54.796;;18FFF504;FB 82 00 FF 00 00 FF 00
15:35:54.808;;18FF0104;00 10 00 00 00 00 00 00
15:35:54.812;;18FEF704;FF FF FF FF F7 01 FF FF
15:35:54.813;;492;Remote Frame (DLC=0)
15:35:54.816;;18FFF504;FF 82 00 FF 00 00 FF 00
15:35:54.828;;18FF0104;00 30 00 00 00 01 00 00
15:35:54.832;;18FEF704;FF FF FF FF 01 02 FF FF
15:35:54.836;;18FFF504;FF 82 00 FF 00 02 FF 00
15:35:54.838;;492;Remote Frame (DLC=0)
15:35:54.848;;18FF0104;00 30 00 00 00 01 00 00
15:35:54.852;;18FEF704;FF FF FF FF 08 02 FF FF
15:35:54.856;;18FFF504;FF 82 00 FF 00 04 FF 00
15:35:54.863;;492;Remote Frame (DLC=0)
15:35:54.868;;18FF0104;00 30 00 00 00 01 00 00
15:35:54.872;;18FEF704;FF FF FF FF 0C 02 FF FF
15:35:54.876;;18FFF504;FF 82 00 FF 00 05 FF 00
15:35:54.888;;492;Remote Frame (DLC=0)
15:35:54.888;;18FF0104;00 10 00 00 00 00 00 00
15:35:54.890;;18FFF403;00 00 00 00 00 00 00 00
